campaign_name	asset_type	angle	text	variant	max_chars	notes
# == Schema reference ==						
# asset_type: headline | long_headline | description						
# angle: pain | outcome | authority | specificity | urgency | testimonial | offer						
# max_chars: headline=30, long_headline=90, description=90						
# Each campaign should have 15 headlines (3 per angle x 5) + 4 descriptions						
# Source: editor-templates/06-rsa-all-campaigns.csv reviewed copy, status Paused						
# Synced from reviewed Google Ads Editor CSV; keep this TSV aligned when copy changes						
food-intol-s	headline	pain	ผื่น ปวดท้อง เหนื่อยง่าย?	A	30	reviewed; Paused; Headline 1
food-intol-s	headline	pain	อาการเรื้อรัง มาจากอาหาร?	A	30	reviewed; Paused; Headline 2
food-intol-s	headline	pain	แพ้อาหารไม่รู้ตัว ทำให้ป่วย	A	30	reviewed; Paused; Headline 3
food-intol-s	headline	outcome	ตรวจ IgG 216 ชนิด ผล 3 วัน	A	30	reviewed; Paused; Headline 4
food-intol-s	headline	outcome	ไม่ต้องงดอาหารก่อนตรวจ	A	30	reviewed; Paused; Headline 5
food-intol-s	headline	outcome	Lab ยุโรปมาตรฐาน แม่นยำสูง	A	30	reviewed; Paused; Headline 6
food-intol-s	headline	authority	วิเคราะห์ผลโดยแพทย์เฉพาะทาง	A	30	reviewed; Paused; Headline 7
food-intol-s	headline	authority	Thrive Wellness แพทย์โดยตรง	A	30	reviewed; Paused; Headline 8
food-intol-s	headline	authority	ปรึกษาแพทย์ฟรีก่อนเริ่มตรวจ	A	30	reviewed; Paused; Headline 9
food-intol-s	headline	specificity	คุณปลา ผื่น 5 ปี หายแล้ว	A	30	reviewed; Paused; Headline 10
food-intol-s	headline	specificity	รู้ต้นเหตุ หยุดอาการเรื้อรัง	A	30	reviewed; Paused; Headline 11
food-intol-s	headline	specificity	ผิวใส ระบบย่อยดี ชีวิตดีขึ้น	A	30	reviewed; Paused; Headline 12
food-intol-s	headline	urgency	ฟรี IV DRIP Detox 3 ครั้ง	A	30	reviewed; Paused; Headline 13
food-intol-s	headline	urgency	ราคา 12,500 บาท โปรฯ จำกัด	A	30	reviewed; Paused; Headline 14
food-intol-s	headline	urgency	จองวันนี้ สิทธิ์จำกัดเท่านั้น	A	30	reviewed; Paused; Headline 15
food-intol-s	description	authority	ตรวจแพ้อาหาร IgG 216 ชนิด ผล 3 วัน ไม่ต้องงดอาหาร วิเคราะห์โดยแพทย์เฉพาะทาง	A	90	reviewed; Paused; Description 1
food-intol-s	description	testimonial	คุณปลา ผื่นมา 5 ปี พบแพ้นม ไข่ กลูเตน เลิกกิน หายเลย ไม่ต้องพึ่งยาอีกต่อไป	A	90	reviewed; Paused; Description 2
food-intol-s	description	offer	รับฟรี IV DRIP Detox 3 ครั้ง มูลค่า 8,970 บาท เมื่อตรวจ IgG 216 ชนิดวันนี้	A	90	reviewed; Paused; Description 3
food-intol-s	description	authority	Thrive Wellness Bangkok แพทย์ดูแลตั้งแต่ตรวจถึงปรับแผนอาหาร ฟรีปรึกษาก่อนเริ่ม	A	90	reviewed; Paused; Description 4
food-intol-pm	headline	pain	ผื่นเป็นๆหายๆ รักษาไม่หาย?	A	30	reviewed; Paused; Headline 1
food-intol-pm	headline	pain	แพ้นม ไข่ ชีส ไม่รู้ตัวมาก่อน	A	30	reviewed; Paused; Headline 2
food-intol-pm	headline	pain	ผิวพัง ท้องอืด เรื้อรังไม่หาย	A	30	reviewed; Paused; Headline 3
food-intol-pm	headline	outcome	Package IgG+IV Detox ครบวงจร	A	30	reviewed; Paused; Headline 4
food-intol-pm	headline	outcome	ตรวจ 216 ชนิด+ใบรับรองแพทย์	A	30	reviewed; Paused; Headline 5
food-intol-pm	headline	outcome	ผล 3 วัน ไม่ต้องงดอาหาร	A	30	reviewed; Paused; Headline 6
food-intol-pm	headline	authority	แพทย์เฉพาะทาง ดูแลตั้งแต่ต้น	A	30	reviewed; Paused; Headline 7
